ID,county,total_cost,benefit_2015,benefit_2050,bc_2015,bc_2050,current_congestion,current_safety,current_freight,current_reliability,current_eta,current_air,current_access,current_score,future_congestion,future_access,future_freight,future_deliverable,future_air,future_volume,future_score
HE-126B,Henry,18000000,6151524.106,3129637.589,3.385317308,1.669577682,0.33,0.05,0,0.00,0.154545455,0.021964225,0.005959184,10.10,0.008455531,0.012940865,0.216366295,0.865278668,0.583826415,0.131623932,21.47
HE-161A,Henry,32981200,7557240.6,7006077.452,3.431895504,3.187745442,0.39,0.29,0,0.00,0.209090909,0.102610912,0.020522409,16.57,0.014439013,0.037455146,0.215259663,0.936295947,0.594502603,0.179487179,23.60
HE-179,Henry,54174000,6307014.84,5791516.763,1.649992922,1.507751304,,,,,,0.056879804,0.011458106,0.80,0.015000843,0.016671408,0.217868153,0.894607603,0.579857436,0.039316239,21.08
HE-202,Henry,1650000,6419717.763,2877004.682,55.21897095,23.85349488,0.37,0.13,0,0.00,0.227272727,0.07426466,0.003239453,13.56,0.009396595,0.008933339,0.215773457,0.996894753,0.607161363,0.287179487,24.61
HE-920B,Henry,84042245,6035794.865,221148.292,0.996469504,0.00647559,0.33,0.10,0,0.00,0.118181818,0.027675271,0.007436868,10.23,0.002781055,0.012758705,0.218026243,0.687347785,0.586558119,0.160683761,19.86
NE-004,Newton,27765398,7183915.195,4396342.217,3.585411686,2.160249,0.52,0.20,0,0.00,0.409090909,0.045532582,0.005787412,20.16,0.011503455,0.013826713,0.210675045,0.934836318,0.610142122,0.215384615,23.45
NE-021,Newton,37048641,5879854.247,2599727.401,2.458671875,1.038284587,0.24,0.05,0,0.00,0.009090909,0.152060095,0.011616665,7.40,0.006727906,0.015700718,0.2225911,0.946481056,0.593275609,0.143589744,22.62
NE-033A,Newton,18200000,6577987.13,2051938.142,4.727044007,1.38298419,0.00,0.09,0,0.00,0.081818182,0.019585584,0.006241067,2.92,0.0041154,0.013427458,0.217453166,0.910988376,0.585413472,0.094017094,21.46
NE-106,Newton,8299756,5774329.396,1008163.593,11.08728916,1.63522386,0.25,0.04,0,0.00,0.036363636,0.04305687,0.009718359,6.91,0.003230519,0.012968314,0.218105288,0.985809048,0.583861285,0.082051282,22.04
PA-036B,Paulding,37082898,6209497.573,3327110.085,2.540101856,1.322627975,0.22,0.08,0,0.00,0.009090909,0.012697975,0.00843447,5.99,0.008441485,0.014882245,0.231483677,0.879920201,0.549010223,0.112820513,21.10
